# Parameterkombination: {'M1_H': 4.6, 'M1_W': 7.8, 'M2_H': 8.4, 'M2_W': 5.3, 'offset': 1.6}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:38:27.888593
#         Zeit [s]            Fx [N]
    0.000000e+00     8.288958e-17
    1.000000e-01     8.155125e-17
    2.000000e-01     9.795135e-17
    3.000000e-01     1.239380e-16
    4.000000e-01     1.033084e-16
    5.000000e-01     1.558873e-16
    6.000000e-01     1.264357e-16
    7.000000e-01     1.273454e-16
    8.000000e-01     9.020830e-17
    9.000000e-01     6.622389e-17
    1.000000e+00     6.517032e-17
    1.010000e+00     6.926536e-03
    1.100000e+00     6.911508e-02
