# Parameterkombination: {'M1_H': 8.5, 'M1_W': 4.9, 'M2_H': 7.2, 'M2_W': 6.5, 'offset': -0.5}
# Ausdruck: intop1(Jy*mfh.Bz-mfh.By*Jz)
# Datensatz: Studie 1//Lösung 1
# Erstellt: 2026-04-29T15:24:07.122993
#         Zeit [s]            Fx [N]
    0.000000e+00     9.080582e-17
    1.000000e-01     1.095917e-16
    2.000000e-01     1.527328e-16
    3.000000e-01     1.211337e-16
    4.000000e-01     1.270878e-16
    5.000000e-01     1.303216e-16
    6.000000e-01     1.039723e-16
    7.000000e-01     1.075010e-16
    8.000000e-01     1.344162e-16
    9.000000e-01     1.243724e-16
    1.000000e+00     1.548911e-16
    1.010000e+00     6.524733e-03
    1.100000e+00     6.524255e-02
